"retention_time","fatty_acid","area_percent","sample"
2.283,"12:0",0.46,"20°C"
3.66,"14:0",1,"20°C"
4.468,"15:0",3.87,"20°C"
5.142,"16:1⁹",32.84,"20°C"
5.316,"16:0",16.82,"20°C"
6.045,"17:0Δ",8.37,"20°C"
6.169,"17:0",1.78,"20°C"
6.799,"18:1⁹ trans",11.71,"20°C"
6.85,"18:1⁹ cis",16.28,"20°C"
7.018,"18:0",0.48,"20°C"
7.742,"19:0Δ",0.91,"20°C"
2.286,"12:0",0.2,"37°C"
2.923,"13:0",0.14,"37°C"
3.663,"14:0",1.21,"37°C"
4.472,"15:0",12.49,"37°C"
4.862,"30H-14:0",0.12,"37°C"
5.138,"16:1⁹",3.11,"37°C"
5.32,"16:0",22.71,"37°C"
6.051,"17:0Δ",28.49,"37°C"
6.173,"17:0",6.99,"37°C"
6.802,"18:1⁹ trans",0,"37°C"
6.849,"18:1⁹ cis",7.5,"37°C"
7.022,"18:0",0.81,"37°C"
7.748,"19:0Δ",8.4,"37°C"
