fatty_acid,retention_time,area_percent,sample,size
12:0,2.283,0.46,20°C,12
14:0,3.66,1,20°C,14
15:0,4.468,3.87,20°C,15
16:1⁹,5.142,32.84,20°C,16
16:0,5.316,16.82,20°C,16
17:0Δ,6.045,8.37,20°C,17
17:0,6.169,1.78,20°C,17
18:1⁹ trans,6.799,11.71,20°C,18
18:1⁹ cis,6.85,16.28,20°C,18
18:0,7.018,0.48,20°C,18
19:0Δ,7.742,0.91,20°C,19
12:0,2.286,0.2,37°C,12
13:0,2.923,0.14,37°C,13
14:0,3.663,1.21,37°C,14
15:0,4.472,12.49,37°C,15
30H-14:0,4.862,0.12,37°C,14
16:1⁹,5.138,3.11,37°C,16
16:0,5.32,22.71,37°C,16
17:0Δ,6.051,28.49,37°C,17
17:0,6.173,6.99,37°C,18
18:1⁹ trans,6.802,0,37°C,18
18:1⁹ cis,6.849,7.5,37°C,18
18:0,7.022,0.81,37°C,18
19:0Δ,7.748,8.4,37°C,19
