time,sample,conc_inh,conc_substr
 4,s11,"0.0000025% vol",0.1
 6,s11,"0.0000025% vol",0.1
 6,s11,"0.0000025% vol",0.1
11,s12,"0.0000025% vol",0.05
 8,s12,"0.0000025% vol",0.05
 8,s12,"0.0000025% vol",0.05
22,s13,"0.0000025% vol",0.01
23,s13,"0.0000025% vol",0.01
23,s13,"0.0000025% vol",0.01
46,s14,"0.0000025% vol",0.008
46,s14,"0.0000025% vol",0.008
43,s14,"0.0000025% vol",0.008
43,s15,"0.0000025% vol",0.005
39,s15,"0.0000025% vol",0.005
35,s15,"0.0000025% vol",0.005
73,s16,"0.0000025% vol",0.002
70,s16,"0.0000025% vol",0.002
69,s16,"0.0000025% vol",0.002

  6,s11,"0.000005% vol",0.1
  6,s11,"0.000005% vol",0.1
  7,s11,"0.000005% vol",0.1
 11,s12,"0.000005% vol",0.05
 10,s12,"0.000005% vol",0.05
 10,s12,"0.000005% vol",0.05
 26,s13,"0.000005% vol",0.01
 34,s13,"0.000005% vol",0.01
 32,s13,"0.000005% vol",0.01
 68,s14,"0.000005% vol",0.008
 63,s14,"0.000005% vol",0.008
 67,s14,"0.000005% vol",0.008
 74,s15,"0.000005% vol",0.005
 95,s15,"0.000005% vol",0.005
 67,s15,"0.000005% vol",0.005
165,s16,"0.000005% vol",0.002
120,s16,"0.000005% vol",0.002
140,s16,"0.000005% vol",0.002

 25,s11,"0.00002% vol",0.1
 21,s11,"0.00002% vol",0.1
 20,s11,"0.00002% vol",0.1
 35,s12,"0.00002% vol",0.05
 37,s12,"0.00002% vol",0.05
 38,s12,"0.00002% vol",0.05
 91,s13,"0.00002% vol",0.01
 96,s13,"0.00002% vol",0.01
 97,s13,"0.00002% vol",0.01
120,s14,"0.00002% vol",0.008
146,s14,"0.00002% vol",0.008
172,s14,"0.00002% vol",0.008
130,s15,"0.00002% vol",0.005
160,s15,"0.00002% vol",0.005
157,s15,"0.00002% vol",0.005
385,s16,"0.00002% vol",0.002
745,s16,"0.00002% vol",0.002
730,s16,"0.00002% vol",0.002
